"tub","pos","trt","climate","soil","sterile","tea","genotype"
52,2,6,"it","sw",1,"none","It41"
52,3,6,"it","sw",1,"none","It15"
52,4,6,"it","sw",1,"none","It24"
52,5,6,"it","sw",1,"none","Sw43"
52,6,6,"it","sw",1,"none","Sw7"
52,7,6,"it","sw",1,"none","It32"
52,8,6,"it","sw",1,"none","Sw11"
56,1,6,"it","sw",1,"none","It24"
56,2,6,"it","sw",1,"none","It15"
56,3,6,"it","sw",1,"none","Sw47"
56,4,6,"it","sw",1,"none","Sw11"
56,5,6,"it","sw",1,"none","It32"
56,6,6,"it","sw",1,"none","Sw43"
56,7,6,"it","sw",1,"none","Sw7"
56,8,6,"it","sw",1,"none","It41"
67,1,6,"it","sw",1,"none","It41"
67,2,6,"it","sw",1,"none","It32"
67,3,6,"it","sw",1,"none","Sw43"
67,4,6,"it","sw",1,"none","Sw11"
67,5,6,"it","sw",1,"none","Sw7"
67,6,6,"it","sw",1,"none","Sw47"
67,7,6,"it","sw",1,"none","It24"
67,8,6,"it","sw",1,"none","It15"
75,1,6,"it","sw",1,"none","Sw47"
75,2,6,"it","sw",1,"none","Sw7"
75,3,6,"it","sw",1,"none","It15"
75,4,6,"it","sw",1,"none","It41"
75,5,6,"it","sw",1,"none","Sw11"
75,6,6,"it","sw",1,"none","It32"
75,7,6,"it","sw",1,"none","Sw43"
75,8,6,"it","sw",1,"none","It24"
31,1,7,"it","sw",1,"sw","Sw7"
31,2,7,"it","sw",1,"sw","It41"
31,3,7,"it","sw",1,"sw","It15"
31,4,7,"it","sw",1,"sw","Sw47"
31,5,7,"it","sw",1,"sw","It24"
31,6,7,"it","sw",1,"sw","Sw11"
31,7,7,"it","sw",1,"sw","It32"
31,8,7,"it","sw",1,"sw","Sw43"
64,1,7,"it","sw",1,"sw","It15"
64,2,7,"it","sw",1,"sw","Sw7"
64,3,7,"it","sw",1,"sw","Sw11"
64,4,7,"it","sw",1,"sw","It32"
64,5,7,"it","sw",1,"sw","It24"
64,6,7,"it","sw",1,"sw","It41"
64,7,7,"it","sw",1,"sw","Sw43"
64,8,7,"it","sw",1,"sw","Sw47"
18,1,7,"it","sw",1,"sw","Sw47"
18,2,7,"it","sw",1,"sw","Sw11"
18,3,7,"it","sw",1,"sw","It15"
18,4,7,"it","sw",1,"sw","It41"
18,5,7,"it","sw",1,"sw","It32"
18,6,7,"it","sw",1,"sw","Sw43"
18,7,7,"it","sw",1,"sw","Sw7"
18,8,7,"it","sw",1,"sw","It24"
38,1,7,"it","sw",1,"sw","Sw7"
38,2,7,"it","sw",1,"sw","Sw11"
38,3,7,"it","sw",1,"sw","It24"
38,4,7,"it","sw",1,"sw","It15"
38,5,7,"it","sw",1,"sw","It32"
38,6,7,"it","sw",1,"sw","Sw43"
38,7,7,"it","sw",1,"sw","It41"
38,8,7,"it","sw",1,"sw","Sw47"
35,1,7,"it","sw",1,"sw","It15"
35,2,7,"it","sw",1,"sw","It32"
35,3,7,"it","sw",1,"sw","Sw47"
35,4,7,"it","sw",1,"sw","Sw11"
35,5,7,"it","sw",1,"sw","It24"
35,6,7,"it","sw",1,"sw","It41"
35,7,7,"it","sw",1,"sw","Sw43"
35,8,7,"it","sw",1,"sw","Sw7"
24,1,7,"it","sw",1,"sw","It15"
24,2,7,"it","sw",1,"sw","Sw11"
24,3,7,"it","sw",1,"sw","It24"
