SampleID	Chamber	Soil	Wash	Genotype	Parentalline	Planted	Treatment	Fraction	Incubationtime	Replicate	Library	Microbe	Condition	Condition_microbe	Microbe_planted	Changed_chamber	Changed_soil	Changed_both	Changed_genotype
I.67.S	Italian	Swedish	Italian	Italian	It32	Planted	Fourth	Soil	6months	3	6	Italian	Changed_soil	Changed_soil_Italian	Italian_Italian	no	yes	no	no
I.69.R	Italian	Italian	Swedish	Italian	It24	Planted	Fourth	Root	6months	4	6	Swedish	Changed_soil_climate	Changed_soil_climate_Swedish	Swedish_Italian	yes	yes	yes	yes
I.69.S	Italian	Italian	Swedish	Italian	It24	Planted	Fourth	Soil	6months	4	6	Swedish	Changed_soil_climate	Changed_soil_climate_Swedish	Swedish_Italian	yes	yes	yes	yes
I.70.R	Italian	Italian	None	Italian	It15	Planted	First	Root	6months	4	5	Italian	Control	Control_Italian	Italian_Italian	no	no	no	no
I.70.S	Italian	Italian	None	Italian	It15	Planted	First	Soil	6months	4	5	Italian	Control	Control_Italian	Italian_Italian	no	no	no	no
I.77.R	Italian	Swedish	Italian	Italian	It24	Planted	Fourth	Root	6months	4	8	Italian	Changed_soil	Changed_soil_Italian	Italian_Italian	no	yes	no	no
I.77.S	Italian	Swedish	Italian	Italian	It24	Planted	Fourth	Soil	6months	4	6	Italian	Changed_soil	Changed_soil_Italian	Italian_Italian	no	yes	no	no
I.78.R	Italian	Swedish	None	Italian	It32	Planted	First	Root	6months	3	5	Swedish	Changed_climate	Changed_climate_Swedish	Swedish_Italian	yes	no	no	no
I.78.S	Italian	Swedish	None	Italian	It32	Planted	First	Soil	6months	3	5	Swedish	Changed_climate	Changed_climate_Swedish	Swedish_Italian	yes	no	no	no
I.8.R	Italian	Swedish	Swedish	Italian	It32	Planted	Third	Root	6months	1	8	Swedish	Repopulated_changed_climate	Repopulated_changed_climate_Swedish	Swedish_Italian	no	no	no	yes
I.84.R	Italian	Swedish	None	Italian	It15	Planted	First	Root	6months	4	5	Swedish	Changed_climate	Changed_climate_Swedish	Swedish_Italian	yes	no	no	no
I.84.S	Italian	Swedish	None	Italian	It15	Planted	First	Soil	6months	4	5	Swedish	Changed_climate	Changed_climate_Swedish	Swedish_Italian	yes	no	no	no
I.87.R	Italian	Italian	Italian	Italian	It32	Planted	Third	Root	6months	4	5	Italian	Repopulated	Repopulated_Italian	Italian_Italian	no	no	no	no
I.87.S	Italian	Italian	Italian	Italian	It32	Planted	Third	Soil	6months	4	5	Italian	Repopulated	Repopulated_Italian	Italian_Italian	no	no	no	no
I.9.R	Italian	Italian	Italian	Italian	It41	Planted	Third	Root	6months	2	5	Italian	Repopulated	Repopulated_Italian	Italian_Italian	no	no	no	no
