order	SampleID	Climate	Soil	Line	Line2	Fraction	Replicate	Soil_Fraction	ChangedConditions	Climate_soil	Line_Fraction	Seq_run	Changed	ChangedClimate	ChangedGenotype	ChangedBoth	observed
92	Italy.Soil.Sw.Sw43.2.ITS1	Italian	Swedish	Swedish	Swedish	Soil	5	Swedish_Soil	Climate	Italian_Swedish	Swedish_Soil	Run1	yes	yes	no	no	172
93	Italy.Soil.Sw.Sw43.3.ITS1	Italian	Swedish	Swedish	Swedish	Soil	6	Swedish_Soil	Climate	Italian_Swedish	Swedish_Soil	Run1	yes	yes	no	no	171
94	Italy.Soil.Sw.Sw47.1.ITS1	Italian	Swedish	Swedish	Swedish	Soil	7	Swedish_Soil	Climate	Italian_Swedish	Swedish_Soil	Run1	yes	yes	no	no	210
95	Italy.Soil.Sw.Sw47.2.ITS1	Italian	Swedish	Swedish	Swedish	Soil	8	Swedish_Soil	Climate	Italian_Swedish	Swedish_Soil	Run1	yes	yes	no	no	143
96	Italy.Soil.Sw.Sw47.3.ITS1	Italian	Swedish	Swedish	Swedish	Soil	9	Swedish_Soil	Climate	Italian_Swedish	Swedish_Soil	Run1	yes	yes	no	no	196
97	Italy.Soil.Sw.Sw7.1.ITS1	Italian	Swedish	Swedish	Swedish	Soil	10	Swedish_Soil	Climate	Italian_Swedish	Swedish_Soil	Run1	yes	yes	no	no	154
98	Italy.Soil.Sw.Sw7.2.ITS1	Italian	Swedish	Swedish	Swedish	Soil	11	Swedish_Soil	Climate	Italian_Swedish	Swedish_Soil	Run1	yes	yes	no	no	225
99	Italy.Soil.Sw.Sw7.3.ITS1	Italian	Swedish	Swedish	Swedish	Soil	12	Swedish_Soil	Climate	Italian_Swedish	Swedish_Soil	Run1	yes	yes	no	no	207
49	Italy.Soil.Unplanted.Ita.1.ITS1	Italian	Italian	Unplanted_Italian	Unplanted_Italian	Soil	1	Italian_Soil	Control	Italian_Italian	Unplanted_Italian_Soil	Run2	no	no	no	no	130
50	Italy.Soil.Unplanted.Ita.2.ITS1	Italian	Italian	Unplanted_Italian	Unplanted_Italian	Soil	2	Italian_Soil	Control	Italian_Italian	Unplanted_Italian_Soil	Run2	no	no	no	no	155
51	Italy.Soil.Unplanted.Ita.3.ITS1	Italian	Italian	Unplanted_Italian	Unplanted_Italian	Soil	3	Italian_Soil	Control	Italian_Italian	Unplanted_Italian_Soil	Run2	no	no	no	no	140
100	Italy.Soil.Unplanted.Swe1.ITS1	Italian	Swedish	Unplanted_Swedish	Unplanted_Swedish	Soil	1	Swedish_Soil	Climate	Italian_Swedish	Unplanted_Swedish_Soil	Run2	yes	yes	no	no	251
101	Italy.Soil.Unplanted.Swe2.ITS1	Italian	Swedish	Unplanted_Swedish	Unplanted_Swedish	Soil	2	Swedish_Soil	Climate	Italian_Swedish	Unplanted_Swedish_Soil	Run2	yes	yes	no	no	252
102	Italy.Soil.Unplanted.Swe3.ITS1	Italian	Swedish	Unplanted_Swedish	Unplanted_Swedish	Soil	3	Swedish_Soil	Climate	Italian_Swedish	Unplanted_Swedish_Soil	Run2	yes	yes	no	no	231
103	Sweden.DP.Soil.It.It.1.ITS1	Swedish	Italian	Deadplant_Italian	Italian	Soil	1	Italian_Soil	Climate	Swedish_Italian	Deadplant_Italian_Soil	Run2	yes	yes	no	no	139
104	Sweden.DP.Soil.It.It.2.ITS1	Swedish	Italian	Deadplant_Italian	Italian	Soil	2	Italian_Soil	Climate	Swedish_Italian	Deadplant_Italian_Soil	Run2	yes	yes	no	no	182
105	Sweden.DP.Soil.It.It.3.ITS1	Swedish	Italian	Deadplant_Italian	Italian	Soil	3	Italian_Soil	Climate	Swedish_Italian	Deadplant_Italian_Soil	Run2	yes	yes	no	no	84
106	Sweden.DP.Soil.It.Sw.1.ITS1	Swedish	Italian	Deadplant_Swedish	Swedish	Soil	1	Italian_Soil	Climate_Genotype	Swedish_Italian	Deadplant_Swedish_Soil	Run2	yes	no	no	yes	188
107	Sweden.DP.Soil.It.Sw.2.ITS1	Swedish	Italian	Deadplant_Swedish	Swedish	Soil	2	Italian_Soil	Climate_Genotype	Swedish_Italian	Deadplant_Swedish_Soil	Run2	yes	no	no	yes	153
108	Sweden.DP.Soil.It.Sw.3.ITS1	Swedish	Italian	Deadplant_Swedish	Swedish	Soil	3	Italian_Soil	Climate_Genotype	Swedish_Italian	Deadplant_Swedish_Soil	Run2	yes	no	no	yes	118
124	Sweden.DP.Soil.Sw.It.1.ITS1	Swedish	Swedish	Deadplant_Italian	Italian	Soil	1	Swedish_Soil	Genotype	Swedish_Swedish	Deadplant_Italian_Soil	Run2	yes	no	yes	no	233
125	Sweden.DP.Soil.Sw.It.2.ITS1	Swedish	Swedish	Deadplant_Italian	Italian	Soil	2	Swedish_Soil	Genotype	Swedish_Swedish	Deadplant_Italian_Soil	Run2	yes	no	yes	no	162
126	Sweden.DP.Soil.Sw.It.3.ITS1	Swedish	Swedish	Deadplant_Italian	Italian	Soil	3	Swedish_Soil	Genotype	Swedish_Swedish	Deadplant_Italian_Soil	Run2	yes	no	yes	no	184
